TV,Radio,Social Media,Influencer_Macro,Influencer_Mega,Influencer_Micro,Influencer_Nano,Sales
13.0,14.52,2.82,0,0,0,1,48.86
83.0,28.83,5.52,1,0,0,0,292.09
47.0,22.15,5.28,0,0,1,0,169.6
68.0,14.03,1.28,0,0,0,1,241.24
38.0,7.74,2.06,0,1,0,0,137.81
77.0,29.77,2.86,1,0,0,0,270.49
64.0,27.02,3.4,1,0,0,0,226.75
94.0,16.78,2.97,0,0,0,1,334.79
34.0,16.69,0.38,0,1,0,0,119.29
50.0,14.96,1.95,0,1,0,0,178.37
97.0,32.1,6.67,0,0,1,0,340.84
65.0,16.01,1.31,0,0,1,0,226.15
66.0,21.84,6.27,0,1,0,0,232.62
93.0,36.81,3.08,0,1,0,0,331.03
55.0,20.49,5.29,0,1,0,0,202.35
63.0,14.59,2.22,0,0,0,1,226.02
62.0,18.23,6.62,0,0,0,1,219.89
51.0,14.77,4.81,0,0,0,1,180.76
20.0,12.3,1.12,0,1,0,0,75.22
79.0,19.48,2.24,1,0,0,0,277.44
83.0,28.18,6.85,0,0,0,1,294.47
84.0,22.33,0.17,0,0,1,0,297.07
41.0,14.82,6.16,0,0,0,1,145.23
78.0,23.93,3.94,0,1,0,0,275.1
73.0,31.33,10.26,0,0,0,1,259.86
62.0,30.1,8.27,0,0,0,1,220.85
97.0,35.17,5.68,0,1,0,0,342.73
97.0,35.73,6.81,0,0,1,0,347.68
24.0,9.23,3.54,0,0,1,0,90.49
43.0,12.32,1.31,1,0,0,0,154.7
17.0,1.16,0.13,0,0,0,1,60.62
39.0,16.97,5.19,0,0,1,0,144.82
35.0,6.46,1.38,0,1,0,0,125.98
63.0,25.44,3.47,0,1,0,0,222.99
70.0,20.27,5.46,0,1,0,0,247.44
18.0,8.62,0.38,0,1,0,0,66.17
66.0,19.71,6.27,1,0,0,0,235.42
73.0,33.45,5.21,0,1,0,0,260.74
75.0,32.98,5.62,0,0,0,1,267.74
78.0,18.16,4.25,0,1,0,0,274.09
57.0,17.89,4.78,0,0,1,0,203.57
69.0,19.03,2.7,0,0,1,0,246.24
54.0,24.37,5.02,1,0,0,0,194.53
51.0,13.35,6.07,1,0,0,0,180.63
90.0,23.85,1.78,1,0,0,0,319.64
58.0,25.1,6.38,1,0,0,0,203.68
78.0,24.99,4.21,1,0,0,0,277.24
42.0,25.89,3.59,0,0,0,1,150.94
91.0,35.43,4.87,0,0,0,1,324.85
53.0,12.94,1.4,0,1,0,0,187.16
65.0,18.74,2.46,0,0,1,0,231.28
61.0,24.66,3.37,0,1,0,0,217.44
46.0,15.58,3.62,0,0,0,1,168.72
53.0,22.59,2.51,0,1,0,0,185.53
65.0,23.58,2.86,0,1,0,0,232.56
28.0,15.05,4.42,1,0,0,0,97.3
26.0,3.21,1.79,1,0,0,0,95.06
89.0,29.2,5.77,0,1,0,0,314.87
86.0,28.02,4.63,1,0,0,0,303.39
27.0,13.27,0.86,0,0,1,0,92.4
70.0,18.78,3.51,0,0,1,0,249.59
52.0,19.83,1.81,1,0,0,0,188.85
58.0,24.3,3.26,1,0,0,0,207.14
10.0,2.11,2.92,0,1,0,0,32.24
22.0,3.12,2.82,0,0,1,0,80.24
33.0,12.13,0.21,1,0,0,0,117.45
55.0,16.35,1.4,0,0,1,0,193.4
59.0,24.12,4.75,0,0,1,0,213.91
63.0,14.02,2.27,0,0,0,1,226.2
59.0,25.0,7.92,0,0,0,1,206.99
54.0,27.34,5.53,0,1,0,0,188.94
31.0,11.16,2.31,0,0,1,0,105.85
42.0,6.89,1.85,0,0,1,0,151.07
41.0,5.53,0.48,0,0,1,0,147.43
10.0,6.09,1.42,1,0,0,0,37.34
81.0,27.93,4.88,0,0,1,0,284.71
56.0,20.85,4.65,0,1,0,0,202.39
91.0,29.89,5.84,1,0,0,0,324.78
75.0,31.44,5.04,0,0,1,0,258.31
16.0,1.34,2.24,0,1,0,0,55.68
50.0,10.7,3.11,0,0,0,1,181.48
17.0,9.74,0.6,0,0,1,0,53.75
53.0,17.32,3.42,0,1,0,0,185.49
45.0,11.71,3.51,0,0,0,1,166.62
74.0,22.68,3.54,0,1,0,0,259.92
92.0,25.05,7.12,0,0,1,0,333.02
64.0,22.85,0.67,0,0,1,0,221.54
18.0,7.02,0.29,0,0,1,0,61.85
11.0,6.24,0.76,1,0,0,0,42.2
42.0,11.76,5.01,0,1,0,0,147.86
82.0,28.88,0.83,0,0,1,0,287.86
24.0,6.82,3.93,1,0,0,0,90.57
28.0,4.14,2.5,1,0,0,0,97.14
31.0,9.95,3.67,0,1,0,0,107.21
83.0,32.57,5.18,0,0,0,1,295.78
100.0,33.33,6.06,1,0,0,0,355.89
42.0,12.81,2.23,0,1,0,0,150.53
59.0,16.98,4.52,0,0,0,1,208.11
31.0,14.95,0.05,0,0,1,0,109.54
87.0,27.15,1.18,0,0,1,0,308.23
32.0,25.49,4.17,0,1,0,0,115.34
80.0,29.35,5.06,0,0,0,1,287.9
53.0,15.47,3.34,0,1,0,0,191.4
81.0,28.11,5.06,0,0,1,0,282.77
20.0,8.53,4.15,1,0,0,0,76.29
74.0,24.56,3.09,0,1,0,0,260.01
15.0,12.09,1.19,0,1,0,0,54.93
15.0,13.13,2.86,1,0,0,0,51.85
82.0,27.87,2.32,0,0,1,0,287.79
37.0,12.71,4.64,1,0,0,0,129.64
55.0,14.49,3.34,0,1,0,0,195.95
22.0,8.78,5.39,0,1,0,0,76.4
78.0,26.47,3.61,1,0,0,0,280.5
14.0,1.17,1.04,0,0,0,1,54.06
13.0,2.32,0.98,0,0,1,0,49.43
83.0,31.67,3.75,0,0,1,0,296.64
29.0,19.65,0.86,0,1,0,0,105.83
33.0,21.12,5.4,0,0,0,1,119.56
91.0,32.53,5.65,0,0,1,0,319.93
48.0,26.55,6.38,1,0,0,0,173.87
74.0,24.32,5.29,0,1,0,0,265.52
47.0,12.13,2.88,1,0,0,0,166.75
65.0,16.26,3.21,0,0,0,1,231.66
43.0,26.16,5.23,0,1,0,0,152.08
68.0,20.32,2.65,0,0,0,1,238.78
54.0,17.14,3.32,0,0,0,1,190.21
33.0,5.81,1.23,0,1,0,0,112.81
89.0,32.43,5.85,0,0,0,1,319.5
77.0,17.67,1.87,1,0,0,0,275.68
20.0,8.18,0.77,0,0,1,0,74.81
55.0,17.46,4.02,0,0,0,1,202.98
35.0,14.08,1.12,0,1,0,0,121.22
30.0,10.79,0.48,0,0,0,1,107.76
46.0,12.45,2.05,0,1,0,0,171.11
19.0,4.72,1.23,0,0,0,1,71.69
73.0,15.96,3.92,0,0,0,1,259.25
41.0,16.69,4.33,1,0,0,0,144.35
18.0,8.2,0.1,0,1,0,0,64.17
41.0,20.38,3.69,0,1,0,0,145.41
94.0,35.77,2.09,0,0,0,1,332.92
60.0,26.92,5.85,0,0,0,1,215.86
15.0,13.56,3.32,0,1,0,0,54.25
83.0,30.59,4.64,0,1,0,0,294.98
24.0,23.86,6.67,1,0,0,0,83.23
49.0,17.98,1.43,0,0,1,0,176.95
48.0,14.96,0.03,0,1,0,0,172.71
96.0,25.19,5.74,0,0,1,0,344.54
83.0,30.06,4.92,1,0,0,0,297.36
62.0,29.01,3.91,1,0,0,0,219.24
43.0,12.21,3.79,0,0,1,0,151.41
30.0,6.37,2.64,0,1,0,0,108.44
48.0,16.38,4.72,0,0,1,0,170.17
36.0,14.78,8.01,0,1,0,0,124.17
25.0,0.98,1.38,0,0,0,1,92.3
35.0,19.16,3.72,1,0,0,0,130.48
12.0,9.36,5.25,0,1,0,0,46.29
65.0,23.91,2.56,1,0,0,0,234.18
54.0,25.99,5.63,1,0,0,0,192.52
66.0,18.45,5.73,1,0,0,0,237.64
25.0,0.97,2.59,0,0,0,1,85.23
45.0,17.49,2.36,0,0,1,0,160.09
89.0,29.62,4.13,0,0,1,0,312.55
36.0,19.4,3.95,0,0,1,0,128.58
33.0,18.65,2.01,0,0,0,1,115.08
45.0,13.67,1.51,0,1,0,0,158.86
68.0,18.17,7.06,1,0,0,0,244.87
63.0,20.34,2.5,1,0,0,0,228.65
35.0,5.93,2.14,0,1,0,0,124.08
84.0,23.67,3.11,0,0,1,0,298.9
96.0,25.06,8.26,0,0,1,0,338.02
45.0,14.19,3.32,0,0,0,1,159.73
60.0,24.19,8.83,0,0,1,0,209.9
52.0,18.41,4.59,0,0,1,0,182.23
73.0,18.81,3.01,1,0,0,0,262.5
15.0,4.65,2.39,1,0,0,0,53.43
69.0,21.92,1.36,0,0,1,0,245.81
99.0,44.86,8.58,1,0,0,0,355.15
16.0,2.72,1.03,0,0,1,0,57.63
65.0,15.61,6.73,0,0,0,1,233.51
79.0,31.43,3.26,0,1,0,0,280.61
44.0,12.77,2.78,1,0,0,0,155.37
42.0,15.79,1.88,1,0,0,0,148.79
22.0,11.78,0.01,0,0,0,1,80.96
42.0,8.34,4.02,0,0,0,1,155.18
62.0,23.55,5.89,1,0,0,0,219.55
23.0,7.96,0.91,0,0,0,1,83.04
89.0,34.21,4.79,1,0,0,0,318.71
67.0,27.11,2.65,1,0,0,0,236.03
94.0,37.48,6.09,1,0,0,0,334.06
50.0,10.37,4.33,0,1,0,0,176.59
96.0,37.01,7.15,0,1,0,0,343.32
86.0,32.61,4.79,0,1,0,0,306.08
66.0,20.15,3.5,0,0,1,0,236.0
60.0,26.1,1.53,0,0,0,1,217.23
59.0,16.84,1.58,0,0,1,0,207.19
63.0,21.4,2.33,0,0,0,1,221.29
61.0,16.13,3.04,1,0,0,0,216.02
54.0,10.87,2.93,0,0,0,1,198.52
80.0,26.45,7.96,0,0,0,1,279.18
51.0,17.9,0.93,0,0,1,0,179.93
56.0,25.33,2.07,1,0,0,0,203.42
100.0,39.52,9.35,0,0,1,0,355.95
47.0,13.94,6.15,0,0,0,1,169.71
55.0,25.73,3.82,0,0,1,0,193.0
20.0,12.35,4.36,1,0,0,0,72.21
89.0,25.9,2.4,0,0,0,1,315.48
30.0,6.33,0.8,0,1,0,0,102.57
54.0,23.75,3.85,1,0,0,0,187.49
66.0,12.06,3.72,1,0,0,0,236.76
55.0,10.12,2.92,0,1,0,0,191.27
78.0,29.71,5.31,0,0,0,1,271.13
53.0,17.04,3.16,1,0,0,0,190.46
96.0,22.45,1.12,0,0,0,1,344.93
44.0,8.52,0.44,0,1,0,0,153.06
65.0,19.81,6.39,1,0,0,0,232.33
41.0,10.71,1.08,0,0,1,0,139.63
68.0,26.11,2.74,0,1,0,0,239.79
67.0,15.84,5.14,1,0,0,0,238.85
87.0,28.66,4.33,0,1,0,0,306.95
69.0,19.66,3.38,0,1,0,0,245.09
64.0,24.6,7.32,0,0,0,1,231.27
61.0,27.02,2.96,1,0,0,0,218.37
97.0,26.75,8.2,0,0,1,0,344.69
89.0,37.38,2.62,0,0,0,1,314.55
46.0,12.56,5.64,1,0,0,0,169.4
25.0,3.89,1.76,0,0,1,0,87.35
80.0,24.17,3.54,1,0,0,0,286.03
31.0,9.25,2.71,0,1,0,0,109.07
74.0,29.66,6.61,0,1,0,0,264.24
76.0,19.86,2.2,0,0,0,1,269.44
70.0,14.87,5.77,0,0,1,0,245.77
48.0,22.61,3.85,0,0,0,1,169.14
30.0,9.82,3.39,0,1,0,0,104.19
25.0,12.54,1.76,0,0,0,1,90.33
73.0,29.59,5.26,1,0,0,0,262.88
50.0,16.07,2.13,0,0,1,0,176.45
43.0,5.53,0.74,1,0,0,0,150.83
73.0,21.29,4.09,0,1,0,0,258.14
84.0,23.98,4.97,0,0,1,0,299.75
28.0,9.97,5.8,1,0,0,0,101.39
43.0,16.57,3.76,0,1,0,0,159.54
74.0,31.1,4.28,0,0,0,1,263.91
65.0,23.38,0.5,0,1,0,0,240.27
37.0,2.32,1.76,0,0,0,1,129.82
43.0,14.5,5.54,1,0,0,0,153.11
65.0,19.44,1.02,1,0,0,0,228.82
10.0,7.95,5.22,0,1,0,0,39.16
58.0,20.06,2.82,0,1,0,0,210.3
87.0,36.61,9.22,0,0,0,1,307.94
84.0,28.04,3.31,0,0,1,0,301.14
42.0,6.7,2.16,0,1,0,0,147.92
64.0,14.24,0.46,0,1,0,0,227.25
69.0,19.79,2.71,0,1,0,0,244.22
38.0,10.73,0.51,0,0,0,1,136.59
62.0,19.8,7.43,0,0,1,0,220.36
35.0,16.18,2.8,0,1,0,0,127.06
38.0,8.94,0.8,0,0,1,0,134.78
29.0,8.22,1.98,0,0,0,1,103.87
61.0,23.67,3.36,0,1,0,0,217.37
77.0,29.86,0.92,1,0,0,0,276.17
74.0,22.36,2.05,0,0,0,1,271.23
74.0,24.71,0.79,1,0,0,0,262.56
94.0,24.22,3.46,0,0,1,0,336.16
55.0,22.93,2.02,0,0,0,1,195.9
92.0,33.15,6.43,1,0,0,0,329.53
47.0,16.52,0.6,0,0,1,0,171.73
36.0,16.58,0.71,0,1,0,0,128.75
25.0,1.91,1.92,0,0,0,1,90.19
80.0,29.71,2.22,0,0,1,0,283.08
40.0,8.21,5.63,1,0,0,0,142.85
66.0,24.91,3.12,0,0,0,1,236.65
23.0,6.12,2.0,0,0,1,0,80.96
82.0,17.36,4.36,0,0,0,1,295.52
82.0,23.57,5.58,0,1,0,0,286.66
18.0,0.77,0.51,0,1,0,0,66.72
53.0,20.03,4.3,1,0,0,0,190.46
93.0,29.61,4.53,0,0,1,0,331.04
14.0,5.24,1.38,0,1,0,0,49.4
22.0,16.1,4.88,0,1,0,0,74.81
12.0,8.27,1.84,0,0,1,0,43.64
60.0,23.6,1.99,0,0,1,0,209.32
69.0,23.97,4.49,0,0,1,0,244.65
75.0,20.36,6.38,0,1,0,0,269.04
17.0,10.62,5.6,0,1,0,0,62.5
45.0,25.54,4.02,0,1,0,0,153.95
22.0,1.63,3.58,0,0,1,0,79.28
42.0,20.92,3.35,0,1,0,0,154.55
68.0,13.87,0.04,0,0,1,0,239.76
74.0,30.97,13.08,0,1,0,0,266.76
65.0,18.51,4.25,0,1,0,0,234.16
75.0,19.12,1.25,0,1,0,0,266.51
24.0,6.16,1.26,0,0,1,0,86.58
48.0,22.66,5.97,0,1,0,0,168.78
18.0,12.09,0.49,1,0,0,0,64.21
52.0,31.48,8.21,0,1,0,0,184.03
95.0,36.91,5.53,1,0,0,0,335.56
80.0,27.53,8.33,0,0,0,1,281.64
72.0,25.93,0.24,0,1,0,0,253.97
27.0,4.17,0.23,0,1,0,0,90.43
67.0,21.66,4.77,0,0,1,0,239.8
17.0,16.69,2.12,0,0,0,1,58.8
35.0,14.5,3.45,0,1,0,0,125.16
15.0,13.5,2.08,0,0,1,0,54.0
40.0,15.16,1.61,0,0,0,1,141.63
40.0,19.51,4.05,0,0,1,0,140.99
28.0,4.52,2.92,0,0,0,1,100.42
23.0,6.1,1.79,0,0,1,0,80.63
66.0,29.2,7.08,0,0,1,0,237.95
35.0,16.59,2.53,0,1,0,0,118.1
67.0,17.55,3.39,0,1,0,0,237.74
68.0,23.58,4.23,0,1,0,0,241.23
89.0,19.65,2.4,0,0,1,0,314.89
85.0,31.64,4.34,1,0,0,0,301.56
98.0,17.54,2.35,0,0,0,1,342.58
67.0,22.93,5.52,0,0,0,1,237.99
75.0,26.07,3.42,1,0,0,0,269.94
95.0,30.06,4.96,0,1,0,0,341.44
97.0,37.35,3.52,0,0,1,0,348.22
34.0,4.44,1.42,0,0,1,0,121.05
28.0,10.76,0.63,0,0,1,0,98.36
51.0,20.12,3.42,0,0,0,1,178.52
41.0,11.21,5.77,0,0,1,0,143.12
59.0,13.99,5.25,0,0,1,0,212.35
12.0,14.33,0.65,0,0,0,1,43.06
98.0,34.04,3.57,0,0,0,1,349.21
93.0,25.65,5.12,0,0,1,0,334.54
43.0,13.84,5.09,0,1,0,0,156.98
24.0,14.0,0.92,0,0,0,1,87.57
38.0,6.35,2.85,0,0,1,0,137.73
95.0,37.82,4.89,0,1,0,0,342.2
50.0,17.48,6.26,0,0,1,0,173.85
28.0,7.11,0.27,1,0,0,0,105.16
13.0,4.42,0.02,0,0,0,1,44.87
80.0,25.72,4.59,0,1,0,0,283.98
21.0,15.22,2.48,1,0,0,0,69.01
30.0,13.94,2.6,1,0,0,0,106.61
53.0,19.74,1.56,0,0,1,0,192.11
85.0,29.38,5.32,1,0,0,0,301.0
11.0,3.63,1.39,1,0,0,0,41.02
38.0,9.48,0.39,0,1,0,0,131.04
24.0,5.62,3.24,1,0,0,0,89.25
72.0,23.6,4.88,0,1,0,0,257.39
63.0,21.12,0.5,1,0,0,0,223.87
59.0,18.59,1.66,0,0,1,0,207.72
13.0,0.1,0.11,0,0,0,1,44.18
95.0,30.47,8.79,0,1,0,0,339.38
90.0,25.7,4.92,0,1,0,0,321.72
55.0,21.81,2.57,1,0,0,0,193.56
91.0,31.17,5.1,0,0,1,0,326.07
95.0,26.64,6.89,1,0,0,0,339.9
36.0,4.22,2.65,0,0,1,0,130.29
21.0,3.11,1.36,0,1,0,0,73.43
83.0,30.64,6.84,0,0,1,0,286.1
55.0,18.59,2.32,0,1,0,0,197.71
55.0,15.24,3.85,0,1,0,0,193.1
99.0,27.61,3.85,0,0,1,0,355.91
21.0,16.06,3.54,0,0,1,0,71.91
43.0,15.1,6.0,0,1,0,0,155.82
54.0,14.97,0.84,0,0,0,1,187.66
74.0,19.29,4.36,0,0,0,1,266.94
53.0,25.05,6.47,0,1,0,0,189.61
19.0,8.95,3.29,0,0,0,1,69.34
35.0,15.36,8.14,0,1,0,0,128.07
40.0,13.83,4.07,0,0,0,1,139.68
11.0,7.37,3.61,0,0,0,1,33.98
29.0,8.71,0.96,1,0,0,0,100.29
63.0,18.07,4.07,0,1,0,0,221.54
38.0,12.37,2.41,0,0,1,0,136.77
68.0,17.74,2.76,0,1,0,0,241.55
87.0,30.99,5.46,0,0,1,0,307.34
70.0,19.87,1.95,0,0,1,0,251.24
94.0,34.44,5.36,0,0,1,0,329.01
58.0,21.59,5.88,0,0,0,1,208.74
90.0,29.56,3.43,1,0,0,0,316.82
44.0,10.01,2.06,0,0,0,1,154.5
58.0,20.5,2.8,0,0,0,1,203.41
80.0,36.09,6.19,0,0,1,0,278.39
38.0,14.82,6.19,0,1,0,0,135.22
68.0,18.97,3.66,1,0,0,0,238.6
40.0,14.69,1.86,0,0,1,0,140.53
22.0,5.92,4.02,0,1,0,0,79.15
77.0,26.93,1.12,0,1,0,0,269.62
60.0,26.0,2.26,0,1,0,0,210.24
89.0,29.92,7.2,0,1,0,0,322.52
56.0,20.9,2.78,0,0,1,0,199.56
46.0,10.36,6.72,1,0,0,0,161.9
41.0,11.74,1.64,0,1,0,0,144.57
69.0,23.74,5.04,0,0,0,1,244.38
36.0,19.23,3.44,0,0,1,0,130.56
38.0,12.94,0.76,1,0,0,0,134.92
22.0,11.59,1.27,1,0,0,0,75.27
13.0,4.22,0.15,0,0,0,1,46.76
32.0,7.07,2.24,0,0,0,1,109.94
83.0,24.74,5.19,1,0,0,0,289.19
15.0,3.5,3.06,0,1,0,0,49.06
26.0,6.63,1.42,1,0,0,0,95.14
68.0,30.72,7.61,0,0,1,0,237.65
99.0,31.84,7.84,0,1,0,0,354.74
74.0,17.42,0.48,0,0,1,0,263.55
40.0,22.16,1.9,0,1,0,0,138.11
48.0,13.26,0.88,0,1,0,0,174.43
24.0,7.57,3.76,0,0,0,1,84.8
21.0,8.65,6.92,0,0,0,1,73.54
93.0,21.7,2.93,0,0,0,1,330.55
50.0,16.97,3.49,0,1,0,0,178.13
30.0,10.31,1.22,1,0,0,0,106.47
18.0,11.98,1.62,1,0,0,0,60.99
61.0,21.38,5.54,0,0,1,0,214.29
57.0,24.12,5.01,1,0,0,0,205.36
89.0,25.77,4.21,0,0,0,1,320.41
97.0,27.51,5.63,0,1,0,0,347.77
98.0,31.35,7.64,0,0,1,0,350.57
52.0,10.65,0.82,1,0,0,0,184.16
50.0,16.67,4.3,1,0,0,0,177.8
87.0,30.2,9.27,0,0,1,0,305.64
96.0,36.93,8.93,0,0,1,0,336.44
83.0,32.19,4.53,1,0,0,0,293.07
29.0,12.06,2.64,0,0,0,1,101.26
74.0,20.43,6.32,1,0,0,0,261.93
75.0,22.3,5.18,1,0,0,0,268.77
72.0,25.91,4.72,0,0,1,0,260.17
13.0,1.83,1.45,1,0,0,0,49.09
42.0,12.97,4.98,0,1,0,0,148.96
12.0,7.76,3.18,0,1,0,0,44.34
71.0,23.36,4.39,1,0,0,0,250.36
89.0,40.03,8.22,0,0,1,0,313.91
40.0,13.95,2.12,1,0,0,0,138.02
88.0,34.49,5.89,0,0,0,1,311.68
47.0,8.32,2.22,0,1,0,0,164.72
86.0,31.99,4.8,0,1,0,0,303.32
10.0,9.85,3.85,0,0,1,0,36.57
60.0,27.29,4.91,0,1,0,0,216.63
69.0,18.07,7.33,0,1,0,0,249.06
88.0,25.62,4.61,0,1,0,0,312.56
88.0,24.87,3.51,0,1,0,0,313.0
70.0,23.99,3.97,0,0,1,0,249.68
54.0,19.4,3.53,0,1,0,0,196.83
13.0,1.69,1.51,0,0,0,1,49.08
68.0,29.44,3.22,0,0,1,0,240.19
100.0,28.19,7.09,1,0,0,0,351.08
99.0,29.46,3.65,0,0,0,1,352.69
36.0,9.43,1.8,0,1,0,0,126.68
91.0,25.73,1.84,0,0,1,0,323.99
76.0,26.12,2.81,0,0,1,0,274.13
62.0,22.51,5.61,1,0,0,0,217.57
10.0,2.61,2.82,0,0,1,0,38.77
15.0,3.29,2.5,1,0,0,0,54.26
86.0,24.32,4.73,0,1,0,0,301.59
74.0,22.34,3.31,0,0,0,1,260.47
56.0,18.73,5.05,1,0,0,0,195.77
58.0,13.02,2.8,0,1,0,0,202.88
64.0,17.74,7.07,0,1,0,0,229.3
15.0,4.49,3.84,1,0,0,0,56.73
15.0,0.99,1.92,0,0,0,1,50.35
45.0,19.27,2.35,0,0,1,0,154.82
80.0,32.87,3.93,1,0,0,0,286.1
35.0,16.3,0.06,1,0,0,0,124.03
71.0,18.53,2.7,0,0,0,1,246.81
80.0,21.83,1.18,1,0,0,0,284.29
38.0,2.59,4.23,1,0,0,0,138.1
32.0,17.63,5.08,0,0,1,0,114.66
43.0,14.87,1.19,0,0,1,0,151.77
98.0,28.94,5.48,0,1,0,0,341.53
40.0,7.65,2.04,0,0,1,0,141.59
85.0,19.84,1.99,0,0,0,1,302.87
44.0,15.99,2.98,0,1,0,0,157.3
20.0,7.92,1.39,0,1,0,0,72.91
98.0,32.22,5.01,0,1,0,0,346.21
77.0,27.14,5.71,1,0,0,0,271.36
77.0,24.19,5.13,0,0,1,0,280.55
90.0,26.32,4.48,0,1,0,0,325.78
38.0,8.78,3.02,0,0,0,1,131.73
61.0,19.57,4.72,0,0,1,0,214.05
100.0,31.63,6.44,0,1,0,0,351.87
66.0,23.35,1.95,0,0,0,1,235.17
79.0,20.48,4.38,0,0,0,1,276.55
85.0,30.21,8.39,1,0,0,0,297.84
31.0,0.42,1.9,1,0,0,0,111.39
58.0,22.87,6.28,0,0,0,1,208.92
21.0,15.77,1.94,0,0,0,1,70.43
91.0,34.15,7.85,0,0,1,0,329.76
27.0,2.4,1.78,0,0,0,1,95.82
30.0,10.89,3.37,0,1,0,0,104.41
79.0,21.05,4.59,0,0,1,0,279.0
80.0,29.63,7.53,0,0,0,1,285.72
39.0,16.53,1.14,0,1,0,0,135.1
36.0,11.34,0.15,0,0,1,0,134.96
51.0,20.08,3.35,1,0,0,0,183.57
23.0,12.67,2.06,1,0,0,0,82.45
32.0,11.59,1.28,1,0,0,0,115.61
30.0,15.52,2.82,1,0,0,0,104.04
62.0,24.48,3.48,1,0,0,0,222.8
81.0,36.12,4.58,0,1,0,0,289.65
56.0,23.97,6.28,0,0,1,0,197.94
92.0,37.1,5.85,0,0,1,0,325.26
13.0,2.53,1.07,0,1,0,0,44.47
84.0,23.49,6.38,1,0,0,0,300.41
85.0,28.16,5.63,0,0,1,0,303.15
75.0,19.53,3.96,0,0,1,0,268.49
41.0,11.4,5.82,0,0,0,1,145.42
71.0,25.77,4.75,1,0,0,0,256.22
28.0,10.37,2.06,1,0,0,0,97.56
46.0,10.18,0.77,0,0,1,0,162.08
34.0,6.51,0.28,1,0,0,0,121.03
27.0,7.77,0.03,0,0,1,0,91.74
30.0,13.42,6.44,0,0,1,0,102.65
95.0,33.33,6.91,0,0,1,0,343.09
34.0,13.97,1.02,0,1,0,0,122.69
20.0,1.97,0.24,0,0,0,1,72.18
86.0,26.94,6.46,1,0,0,0,306.44
38.0,7.15,0.93,0,0,0,1,134.79
66.0,18.14,6.4,1,0,0,0,240.29
25.0,5.57,0.88,0,0,0,1,85.23
44.0,16.08,1.73,1,0,0,0,152.17
61.0,10.38,2.26,0,0,0,1,223.68
69.0,34.18,5.93,0,0,0,1,240.04
76.0,31.57,5.67,0,1,0,0,273.04
89.0,30.98,4.6,0,0,0,1,318.05
11.0,1.88,1.32,0,0,1,0,36.97
88.0,26.81,5.02,0,0,0,1,314.66
27.0,5.18,3.56,0,0,0,1,100.15
65.0,20.46,4.85,0,0,1,0,230.52
48.0,21.5,4.74,0,1,0,0,168.06
48.0,7.64,0.03,0,1,0,0,171.0
46.0,15.5,0.17,1,0,0,0,166.98
10.0,2.2,1.49,0,1,0,0,31.4
66.0,16.37,1.94,1,0,0,0,235.07
42.0,16.58,2.23,0,0,0,1,149.89
71.0,24.04,3.09,0,1,0,0,247.78
51.0,24.65,6.44,0,0,1,0,189.5
81.0,32.01,5.57,0,0,0,1,287.96
10.0,5.14,4.75,0,0,0,1,38.05
21.0,9.69,3.39,0,0,0,1,78.45
83.0,20.73,4.61,0,0,0,1,292.37
96.0,27.15,3.54,1,0,0,0,337.94
83.0,24.57,6.19,1,0,0,0,293.26
84.0,27.82,6.17,0,0,1,0,298.32
56.0,11.87,2.35,0,0,0,1,201.74
82.0,25.52,2.74,0,1,0,0,288.53
45.0,17.94,0.17,1,0,0,0,158.76
21.0,6.4,0.15,0,0,0,1,70.77
45.0,10.84,1.3,0,0,1,0,156.87
18.0,5.1,2.43,0,0,1,0,60.27
42.0,8.9,2.82,1,0,0,0,144.08
36.0,5.36,0.9,0,1,0,0,127.66
38.0,19.2,2.83,0,1,0,0,131.75
55.0,19.72,4.38,0,0,1,0,195.56
61.0,20.91,1.17,0,0,1,0,221.39
67.0,18.9,4.22,0,0,1,0,242.93
96.0,33.96,7.22,0,1,0,0,344.25
74.0,25.36,3.64,0,0,1,0,260.1
54.0,24.82,3.39,0,0,1,0,191.04
64.0,16.08,2.39,0,1,0,0,224.52
37.0,15.41,1.94,1,0,0,0,133.61
55.0,20.84,3.65,0,1,0,0,199.52
28.0,8.91,3.91,0,0,0,1,101.31
58.0,20.92,6.06,0,0,1,0,207.31
44.0,8.45,1.09,0,1,0,0,164.24
74.0,23.42,2.28,0,0,0,1,262.6
49.0,15.61,3.43,0,1,0,0,175.96
17.0,1.62,2.94,1,0,0,0,57.9
92.0,27.07,7.77,0,0,1,0,326.68
45.0,12.22,6.08,0,0,0,1,159.17
40.0,20.14,4.96,0,0,1,0,142.74
49.0,13.86,0.15,0,0,0,1,173.76
89.0,34.72,6.14,1,0,0,0,315.23
67.0,28.63,9.07,0,1,0,0,238.42
40.0,18.81,0.85,1,0,0,0,139.87
88.0,20.58,3.18,1,0,0,0,312.27
14.0,6.08,1.15,0,0,0,1,49.04
42.0,6.18,1.89,0,0,1,0,145.27
38.0,12.91,0.09,0,0,1,0,136.24
56.0,12.98,1.01,1,0,0,0,204.38
55.0,15.77,3.12,0,0,0,1,197.73
84.0,27.65,5.92,0,0,0,1,300.92
85.0,30.35,7.75,0,0,1,0,305.61
67.0,25.58,4.02,1,0,0,0,238.6
17.0,7.2,1.39,0,0,0,1,59.5
22.0,15.13,3.79,0,0,0,1,86.8
10.0,5.04,0.7,0,1,0,0,36.86
96.0,27.25,3.94,0,0,0,1,341.91
